Year,District,Season,Sown_Extent,Harvested_Extent,Waterfed_Major,Waterfed_Minor,Rainfed,Yield_Extent
2009,COLOMBO,Yala,3615.0,3603.0,2957.0,2957.0,3018.0,3004.0
2009,GAMPAHA,Yala,8106.0,8095.0,3680.0,3439.0,3257.0,339.0
2009,KALUTARA,Yala,12872.0,12863.0,3033.0,2513.0,2969.0,2898.0
2009,KANDY,Yala,9262.0,9185.0,4160.0,3158.0,3082.0,3545.0
2009,MATALE,Yala,6406.0,6163.0,4117.0,3386.0,2842.0,3642.0
2009,NUWARA ELIYA,Yala,2884.0,2858.0,3070.0,2867.0,2867.0,2913.0
2009,GALLE,Yala,13120.0,13084.0,3866.2728350515463,3013.0,2997.0,2997.0
2009,MATARA,Yala,15722.0,15538.0,4167.0,3624.0,3405.0,3628.0
2009,HAMBANTOTA,Yala,21905.0,21853.0,5264.0,4226.0,3227.0,5017.0
2009,JAFFNA,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,3971.4277163904235
2009,MANNAR,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,3971.4277163904235
2009,VAVUNIYA,Yala,253.0,209.0,4430.0,3924.0,3005.414551607445,3998.0
2009,MULLATIVU,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,3971.4277163904235
2009,KILINOCHCHI,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,3971.4277163904235
2009,BATTICALOA,Yala,17073.0,16020.0,4262.0,4555.0,3071.0,4189.0
2009,AMPARA,Yala,46227.0,45303.0,4994.0,3895.0,3895.0,4964.0
2009,TRINCOMALEE,Yala,13950.0,13947.0,4864.0,4726.0,4726.0,4851.0
2009,KURUNEGALA,Yala,48916.0,46516.0,4477.0,3467.0,3270.0,3534.0
2009,PUTTALAM,Yala,15258.0,14831.0,4037.0,3382.0,3086.0,3653.0
2009,ANURADHAPURA,Yala,18226.0,17781.0,4431.0,4415.0,4415.0,4426.0
2009,POLONNARUWA,Yala,36862.0,36583.0,4750.0,4473.0,3005.414551607445,4737.0
2009,BADULLA,Yala,8168.0,7973.0,5352.0,3829.0,3829.0,4673.0
2009,MONARAGALA,Yala,8341.0,7325.0,3937.0,3274.0,3274.0,3645.0
2009,RATNAPURA,Yala,11978.0,11840.0,5118.0,3099.0,2555.0,3277.0
2009,KEGALLE,Yala,7617.0,7610.0,3866.2728350515463,3449.0,3338.0,3374.0
2009,UDAWALAWE,Yala,12188.0,11944.0,6105.0,3388.6953165208442,3005.414551607445,6105.0
2009,MAHAWELI  'H',Yala,6481.0,6481.0,4821.0,3388.6953165208442,3005.414551607445,4821.0
2010,COLOMBO,Yala,2656.0,2656.0,3523.0,3769.0,3059.0,3209.0
2010,GAMPAHA,Yala,7828.0,7810.0,3994.0,3529.0,3648.0,3687.0
2010,KALUTARA,Yala,12025.0,11935.0,2248.0,2842.0,2657.0,2682.0
2010,KANDY,Yala,10121.0,10103.0,4187.0,3166.0,3250.0,3567.0
2010,MATALE,Yala,10719.0,10718.0,4993.0,3690.0,3163.0,4292.0
2010,NUWARA ELIYA,Yala,3030.0,2960.0,4474.0,4456.0,2604.0,4420.0
2010,GALLE,Yala,11732.0,11685.0,3509.0,3398.0,2937.0,2943.0
2010,MATARA,Yala,15574.0,15467.0,3823.0,3263.0,3297.0,3415.0
2010,HAMBANTOTA,Yala,24255.0,24244.0,5338.0,4373.0,3730.0,5114.0
2010,JAFFNA,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,3971.4277163904235
2010,MANNAR,Yala,600.0,600.0,3909.0,3388.6953165208442,3005.414551607445,3909.0
2010,VAVUNIYA,Yala,834.0,827.0,5014.0,4277.0,3005.414551607445,4724.0
2010,MULLATIVU,Yala,1183.0,1150.0,3888.0,3764.0,3005.414551607445,3877.0
2010,KILINOCHCHI,Yala,1468.0,1468.0,2581.0,2465.0,3005.414551607445,2579.0
2010,BATTICALOA,Yala,20901.0,20894.0,4051.0,3725.0,3869.0,4008.0
2010,AMPARA,Yala,59255.0,59196.0,4903.0,3996.0,4408.0,4877.0
2010,TRINCOMALEE,Yala,13116.0,13059.0,4869.0,4670.0,3005.414551607445,4853.0
2010,KURUNEGALA,Yala,56682.0,56386.0,4305.0,4083.0,3782.0,3993.0
2010,PUTTALAM,Yala,10576.0,9436.0,3700.0,3396.0,3773.0,3567.0
2010,ANURADHAPURA,Yala,22887.0,22808.0,5140.0,4477.0,3766.0,4887.0
2010,POLONNARUWA,Yala,58301.0,58300.0,5121.0,4474.0,3005.414551607445,5095.0
2010,BADULLA,Yala,12665.0,12665.0,5016.0,3558.0,3279.0,4480.0
2010,MONARAGALA,Yala,14016.0,13884.0,5093.0,3537.0,2392.0,4210.0
2010,RATNAPURA,Yala,11463.0,11449.0,4795.0,3149.0,2475.0,3280.0
2010,KEGALLE,Yala,7216.0,7209.0,3866.2728350515463,2923.0,2810.0,2846.0
2010,UDAWALAWE,Yala,14317.0,14317.0,6526.0,3388.6953165208442,3005.414551607445,6526.0
2010,MAHAWELI  'H',Yala,15824.0,15824.0,5574.0,3388.6953165208442,3005.414551607445,5574.0
2011,COLOMBO,Yala,2378.0,2343.0,3441.0,3364.0,2893.0,2999.0
2011,GAMPAHA,Yala,5461.0,5449.0,3802.0,3488.0,3148.0,3415.0
2011,KALUTARA,Yala,11499.0,11394.0,2596.0,2451.0,2424.0,2430.0
2011,KANDY,Yala,9127.0,8943.0,4411.0,3492.0,2977.0,3737.0
2011,MATALE,Yala,10718.0,10607.0,4839.0,3689.0,3286.0,4202.0
2011,NUWARA ELIYA,Yala,2946.0,2921.0,4302.0,4209.0,3190.0,4208.0
2011,GALLE,Yala,10560.0,10545.0,3533.0,3122.0,2919.0,2924.0
2011,MATARA,Yala,15401.0,15372.0,3831.0,3275.0,3086.0,3299.0
2011,HAMBANTOTA,Yala,25339.0,25260.0,5345.0,4090.0,3633.0,5047.0
2011,JAFFNA,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,3971.4277163904235
2011,MANNAR,Yala,1818.0,1799.0,3873.0,2740.0,3005.414551607445,3842.0
2011,VAVUNIYA,Yala,4272.0,4272.0,4752.0,3854.0,3305.0,4151.0
2011,MULLATIVU,Yala,3433.0,3371.0,3720.0,3498.0,3005.414551607445,3669.0
2011,KILINOCHCHI,Yala,6518.0,6501.0,2622.0,2434.0,3005.414551607445,2616.0
2011,BATTICALOA,Yala,21699.0,21699.0,4132.0,3197.0,2940.0,4031.0
2011,AMPARA,Yala,61904.0,61904.0,4919.0,3677.0,3360.0,4863.0
2011,TRINCOMALEE,Yala,18514.0,18256.0,4807.0,3931.0,3005.414551607445,4710.0
2011,KURUNEGALA,Yala,68619.0,67458.0,4280.0,3860.0,3358.0,3758.0
2011,PUTTALAM,Yala,17521.0,17194.0,4133.0,3337.0,3242.0,3684.0
2011,ANURADHAPURA,Yala,54471.0,53943.0,5064.0,4475.0,3005.414551607445,4775.0
